sk_fato,fk_tempo,fk_local,fk_ensino,fk_administrativa,nota_saeb_matematica,nota_saeb_portugues,nota_saeb_media,taxa_aprovacao,valor_ideb_alcancado,valor_ideb_meta,atingiu_meta
1,1,7,1,2,234.66,220.42,6.449933,92.4,6.0,5.0,Sim
2,2,7,1,2,236.57,214.85,6.385111,95.3,6.1,5.3,Sim
3,3,7,1,2,227.71,215.59,6.229482,98.6,6.1,5.5,Sim
4,4,7,1,2,234.67,214.8,6.347942,99.9,6.3,5.8,Sim
5,5,7,1,2,253.97,231.18,7.014081,100.0,7.0,,
6,1,7,1,4,234.66,220.42,6.449933,92.4,6.0,5.0,Sim
7,2,7,1,4,236.57,214.85,6.385111,95.3,6.1,5.3,Sim
8,3,7,1,4,227.71,215.59,6.229482,98.6,6.1,5.6,Sim
9,4,7,1,4,234.67,214.8,6.347942,99.9,6.3,5.8,Sim
10,5,7,1,4,253.97,231.18,7.014081,100.0,7.0,,
11,1,1,1,1,206.49,188.39,5.329974,94.8,5.1,5.2,Não
12,2,1,1,1,203.1,194.59,5.378007,95.7,5.1,5.4,Não
13,3,1,1,1,222.06,208.09,5.985294,95.7,5.7,5.7,Sim
14,4,1,1,1,,,,97.4,,6.0,
15,5,1,1,1,180.65,179.33,4.672117,93.7,4.4,,
16,1,1,1,2,190.04,178.83,4.842225,86.1,4.2,3.2,Sim
17,2,1,1,2,185.45,167.02,4.539902,86.3,3.9,3.5,Sim
18,3,1,1,2,201.78,188.99,5.250998,84.7,4.4,3.8,Sim
19,4,1,1,2,171.84,168.32,4.303806,97.0,4.2,4.2,Sim
20,5,1,1,2,198.11,194.23,5.276232,94.1,5.0,,
21,1,1,1,4,198.27,183.61,5.086195,88.0,4.5,4.1,Sim
22,2,1,1,4,195.11,182.11,4.998617,88.3,4.4,4.4,Sim
23,3,1,1,4,213.47,200.0,5.674271,87.1,4.9,4.7,Sim
24,4,1,1,4,180.45,178.59,4.654846,97.1,4.5,5.0,Não
25,5,1,1,4,191.3,188.42,5.040634,94.1,4.7,,
26,1,2,1,2,210.92,191.18,5.465244,88.5,4.8,4.4,Sim
27,2,2,1,2,219.95,204.42,5.878299,84.9,5.0,4.7,Sim
28,3,2,1,2,223.23,206.32,5.97544,89.1,5.3,5.0,Sim
29,4,2,1,2,216.35,199.64,5.722688,100.0,5.7,5.3,Sim
30,5,2,1,2,231.63,219.52,6.375745,99.5,6.3,,
31,1,2,1,4,210.92,191.18,5.465244,88.5,4.8,4.2,Sim
32,2,2,1,4,219.95,204.42,5.878299,84.9,5.0,4.5,Sim
33,3,2,1,4,223.23,206.32,5.97544,89.1,5.3,4.8,Sim
34,4,2,1,4,216.35,199.64,5.722688,100.0,5.7,5.1,Sim
35,5,2,1,4,231.63,219.52,6.375745,99.5,6.3,,
36,2,3,1,1,224.16,203.84,5.948097,91.5,5.4,3.6,Sim
37,3,3,1,1,218.19,200.04,5.765075,88.1,5.1,3.9,Sim
38,4,3,1,1,215.16,202.04,5.743614,97.2,5.6,4.2,Sim
39,5,3,1,1,195.89,184.4,5.055139,96.0,4.9,,
40,1,3,1,2,211.76,195.33,5.556729,92.7,5.2,3.8,Sim
41,2,3,1,2,206.04,192.32,5.392841,91.2,4.9,4.1,Sim
42,3,3,1,2,209.53,192.95,5.470899,93.7,5.1,4.4,Sim
43,4,3,1,2,207.45,191.83,5.41084,97.1,5.3,4.7,Sim
44,5,3,1,2,229.32,208.53,6.131843,99.7,6.1,,
45,1,3,1,4,,,,92.6,,3.7,
46,2,3,1,4,211.96,196.08,5.574182,91.1,5.1,4.0,Sim
47,3,3,1,4,211.75,194.77,5.546356,92.3,5.1,4.3,Sim
48,4,3,1,4,209.36,194.35,5.493109,97.0,5.3,4.6,Sim
49,5,3,1,4,213.35,197.0,5.617436,98.7,5.5,,
50,1,4,1,1,,,,89.5,,3.8,
51,2,4,1,1,220.94,211.69,6.029374,94.5,5.7,4.1,Sim
52,3,4,1,1,211.92,184.39,5.360873,95.7,5.1,4.4,Sim
53,4,4,1,1,210.2,198.22,5.579503,100.0,5.6,4.7,Sim
54,5,4,1,1,221.22,211.7,6.034899,94.5,5.7,,
55,1,4,1,2,206.73,195.08,5.456191,90.3,4.9,3.9,Sim
56,2,4,1,2,224.68,217.58,6.207839,94.5,5.9,4.2,Sim
57,3,4,1,2,242.2,223.13,6.643099,98.3,6.5,4.5,Sim
58,4,4,1,2,244.44,227.43,6.764029,100.0,6.8,4.9,Sim
59,5,4,1,2,270.09,247.92,7.626078,100.0,7.6,,
60,1,4,1,4,,,,90.0,,3.9,
61,2,4,1,4,223.08,215.05,6.131305,94.5,5.8,4.2,Sim
62,3,4,1,4,236.36,215.66,6.395831,97.9,6.3,4.5,Sim
63,4,4,1,4,238.83,222.64,6.569877,100.0,6.6,4.8,Sim
64,5,4,1,4,264.78,243.98,7.453106,99.4,7.4,,
65,2,5,1,4,,,,93.1,,4.3,
66,1,6,1,1,186.17,169.4,4.596915,92.6,4.3,4.2,Sim
67,2,6,1,1,219.9,204.77,5.883709,94.2,5.5,4.5,Sim
68,1,6,1,2,218.39,201.56,5.796528,92.5,5.4,4.2,Sim
